C/A,Unit,SCP,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
A006,R079,00-03-01,NQRW,BMT,01/30/2022,17:00:00,REGULAR,838419,523948
A006,R079,00-03-01,NQRW,BMT,01/30/2022,21:00:00,REGULAR,838502,523964
A006,R079,00-03-02,NQRW,BMT,01/30/2022,01:00:00,REGULAR,1306818,1332120
A006,R079,00-03-02,NQRW,BMT,01/30/2022,05:00:00,REGULAR,1306820,1332126
A006,R079,00-03-02,NQRW,BMT,01/30/2022,09:00:00,REGULAR,1306835,1332221
A006,R079,00-03-02,NQRW,BMT,01/30/2022,13:00:00,REGULAR,1306866,1332418
A006,R079,00-03-02,NQRW,BMT,01/30/2022,17:00:00,REGULAR,1307003,1332660
A006,R079,00-03-02,NQRW,BMT,01/30/2022,21:00:00,REGULAR,1307068,1332701
A007,R079,01-05-00,NQRW,BMT,01/30/2022,01:00:00,REGULAR,4309,0
A007,R079,01-05-00,NQRW,BMT,01/30/2022,05:00:00,REGULAR,4309,0
A007,R079,01-05-00,NQRW,BMT,01/30/2022,09:00:00,REGULAR,4309,0
A007,R079,01-05-00,NQRW,BMT,01/30/2022,13:00:00,REGULAR,4309,0
A007,R079,01-05-00,NQRW,BMT,01/30/2022,17:00:00,REGULAR,4309,0
A007,R079,01-05-00,NQRW,BMT,01/30/2022,21:00:00,REGULAR,4309,0
A007,R079,01-05-01,NQRW,BMT,01/30/2022,01:00:00,REGULAR,262144,96
A007,R079,01-05-01,NQRW,BMT,01/30/2022,05:00:00,REGULAR,262144,96
A007,R079,01-05-01,NQRW,BMT,01/30/2022,09:00:00,REGULAR,262144,96
A007,R079,01-05-01,NQRW,BMT,01/30/2022,13:00:00,REGULAR,262144,96
A007,R079,01-05-01,NQRW,BMT,01/30/2022,17:00:00,REGULAR,262144,96
A007,R079,01-05-01,NQRW,BMT,01/30/2022,21:00:00,REGULAR,262144,96
A007,R079,01-06-00,NQRW,BMT,01/30/2022,01:00:00,REGULAR,785511,657205
A007,R079,01-06-00,NQRW,BMT,01/30/2022,05:00:00,REGULAR,785511,657205
A007,R079,01-06-00,NQRW,BMT,01/30/2022,09:00:00,REGULAR,785512,657225
A007,R079,01-06-00,NQRW,BMT,01/30/2022,13:00:00,REGULAR,785528,657403
A007,R079,01-06-00,NQRW,BMT,01/30/2022,17:00:00,REGULAR,785605,657673
A007,R079,01-06-00,NQRW,BMT,01/30/2022,21:00:00,REGULAR,785639,657710
A007,R079,01-06-01,NQRW,BMT,01/30/2022,01:00:00,REGULAR,119895682,3551655
A007,R079,01-06-01,NQRW,BMT,01/30/2022,05:00:00,REGULAR,119895683,3551656
A007,R079,01-06-01,NQRW,BMT,01/30/2022,09:00:00,REGULAR,119895690,3551688
A007,R079,01-06-01,NQRW,BMT,01/30/2022,13:00:00,REGULAR,119895713,3551941
A007,R079,01-06-01,NQRW,BMT,01/30/2022,17:00:00,REGULAR,119895808,3552315
A007,R079,01-06-01,NQRW,BMT,01/30/2022,21:00:00,REGULAR,119895902,3552388
A007,R079,01-06-02,NQRW,BMT,01/30/2022,01:00:00,REGULAR,5254996,2149545
A007,R079,01-06-02,NQRW,BMT,01/30/2022,05:00:00,REGULAR,5254996,2149546
A007,R079,01-06-02,NQRW,BMT,01/30/2022,09:00:00,REGULAR,5254998,2149562
A007,R079,01-06-02,NQRW,BMT,01/30/2022,13:00:00,REGULAR,5255034,2149622
A007,R079,01-06-02,NQRW,BMT,01/30/2022,17:00:00,REGULAR,5255167,2149702
A007,R079,01-06-02,NQRW,BMT,01/30/2022,21:00:00,REGULAR,5255253,2149719
A007,R079,01-06-03,NQRW,BMT,01/30/2022,01:00:00,REGULAR,227586,81253
A007,R079,01-06-03,NQRW,BMT,01/30/2022,05:00:00,REGULAR,227588,81253
